epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4902,2.04075,3.35822,2.0212,0.1277,0.13082,0.07073,0.02446,2.42941,3.79364,2.47325,0.000544771,0.000544771,0.000544771
2,70.5,2.07199,2.64055,2.08193,0.003,0.04676,0.00017,5e-05,3.49511,2452.36,6.779,0.00110032,0.00110032,0.00110032
3,110.969,2.09754,2.57962,2.11002,0.00277,0.04718,0.00013,4e-05,3.49205,2455.66,6.7936,0.00165539,0.00165539,0.00165539
4,131.924,2.12761,2.65103,2.11029,0.01197,0.0414,0.00115,0.0002,4.30315,12.1407,18.7507,0.00166537,0.00166537,0.00166537
5,152.229,2.12172,2.65424,2.10627,0.00693,0.10297,0.00107,0.00018,3.64078,417.982,26.3541,0.00166411,0.00166411,0.00166411
6,174.149,2.06912,2.54104,2.07831,0.08781,0.21557,0.07542,0.02262,2.51559,4.81475,2.60539,0.00166248,0.00166248,0.00166248
7,194.461,2.04616,2.54452,2.08687,0.1281,0.16006,0.05724,0.01694,2.55616,3.6758,2.48415,0.00166049,0.00166049,0.00166049
8,214.79,2.03392,2.55681,2.07255,0.1658,0.20648,0.10685,0.03433,2.45058,2.94302,2.36466,0.00165815,0.00165815,0.00165815
9,236.161,1.97803,2.47787,2.03626,0.1654,0.25625,0.11348,0.03332,2.44067,2.75053,2.41431,0.00165544,0.00165544,0.00165544
10,256.31,1.98214,2.47754,2.01361,0.27905,0.20478,0.09771,0.0275,2.51472,2.8784,2.50991,0.00165238,0.00165238,0.00165238
11,278.388,1.974,2.41278,2.00094,0.24337,0.24114,0.13739,0.04169,2.50046,3.01878,2.4306,0.00164897,0.00164897,0.00164897
12,298.52,1.96978,2.45295,1.99403,0.29146,0.26602,0.15856,0.05028,2.32541,2.6247,2.29023,0.0016452,0.0016452,0.0016452
13,319.101,1.92964,2.38309,1.95492,0.28601,0.24726,0.14242,0.04839,2.28007,2.79366,2.25387,0.00164108,0.00164108,0.00164108
14,339.942,1.9282,2.372,1.94053,0.29425,0.26811,0.18051,0.0582,2.30664,2.58209,2.24418,0.0016366,0.0016366,0.0016366
15,360,1.90181,2.36608,1.92192,0.24955,0.31476,0.17127,0.05539,2.28949,2.75547,2.21249,0.00163178,0.00163178,0.00163178
16,381.452,1.92766,2.36344,1.97715,0.25553,0.23612,0.14492,0.04276,2.51573,2.67181,2.45697,0.00162661,0.00162661,0.00162661
17,401.425,1.91146,2.357,1.9441,0.23441,0.27163,0.15337,0.05246,2.23092,2.6552,2.18744,0.0016211,0.0016211,0.0016211
18,421.342,1.90947,2.32444,1.94267,0.27822,0.27234,0.19847,0.06637,2.2864,2.50788,2.24331,0.00161525,0.00161525,0.00161525
